Размер вектора,Кол-во процессов,Время последовательно,Время параллельно,Min,Max
1000,16,4.1842e-05,0.0558488,4,997
10000,16,0.000380154,0.177946,0,999
100000,16,0.00379673,0.00267323,0,999
1000000,16,0.0380437,0.0220258,0,999
10000000,16,0.383053,0.218107,0,999
1000,8,4.0041e-05,0.117206,0,999
10000,8,0.000388112,0.000501783,0,999
100000,8,0.00378774,0.00253054,0,999
1000000,8,0.0378145,0.0309426,0,999
10000000,8,0.380434,0.229398,0,999
1000,32,7.3727e-05,0.0601337,1,999
10000,32,0.000727792,0.402878,0,999
100000,32,0.00727832,0.0025168,0,999
1000000,32,0.0733068,0.0210464,0,999
10000000,32,0.729555,0.242306,0,999
